Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1939,     1, 0.11879781, 5.64372734, 0.73823616, 27.6403509,  3.0041000, 37.1452122,   -93.5193 
1939,     2, 0.09098401, 5.59874546, 0.73449826, 27.6363445,  3.0041000, 37.0646723,   -93.7248 
1939,     3, 0.06936753, 5.55336806, 0.73011798, 27.6315127,  3.0041000, 36.9884662,   -93.9199 
1939,     4, 0.04492713, 5.48146987, 0.72232088, 27.6225881,  3.0041000, 36.8754059,   -94.2056 
1939,     5, 0.03640574, 5.44699363, 0.71824399, 27.6178745,  3.0041000, 36.8236179,   -94.3418 
1939,     6, 0.03086634, 5.42008782, 0.71495539, 27.6140337,  3.0041000, 36.7840433,   -94.4482 
1939,     7, 0.02527873, 5.38771269, 0.71090766, 27.6092447,  3.0041000, 36.7372438,   -94.5725 
1939,     8, 0.87426665, 5.84141052, 0.69223348, 27.5857393,  3.0041000, 37.9977500,   -92.3833 
1939,     9, 0.25938812, 5.63231471, 0.72487954, 27.6197305,  3.0041000, 37.2404129,   -93.9006 
1939,    10, 0.13103228, 5.51810245, 0.72136607, 27.6154106,  3.0041000, 36.9900114,   -94.4509 
1939,    11, 0.08394063, 5.44487078, 0.71557118, 27.6085502,  3.0041000, 36.8570328,   -94.7587 
1939,    12, 0.07302139, 5.42215482, 0.71338011, 27.6059750,  3.0041000, 36.8186313,   -94.8556 
1940,     1, 0.07104018, 5.41768227, 0.71293003, 27.6054469,  3.0041000, 36.8111994,   -94.8820 
1940,     2, 0.06332876, 5.39903871, 0.71101198, 27.6031750,  3.0041000, 36.7806544,   -94.9616 
1940,     3, 0.04702412, 5.35103796, 0.70579104, 27.5968557,  3.0041000, 36.7048088,   -95.1469 
1940,     4, 0.06372485, 5.30291078, 0.69739190, 27.5864185,  3.0041000, 36.6545460,   -95.2991 
1940,     5, 0.08194286, 5.28222387, 0.69267800, 27.5804345,  3.0041000, 36.6413792,   -95.3624 
1940,     6, 0.10068837, 5.27379414, 0.68963361, 27.5764904,  3.0041000, 36.6447065,   -95.3860 
1940,     7, 0.11731066, 5.26787519, 0.68715060, 27.5731969,  3.0041000, 36.6496334,   -95.4048 
1940,     8, 0.12992604, 5.26006134, 0.68479466, 27.5699869,  3.0041000, 36.6488690,   -95.4356 
1940,     9, 0.28028429, 5.35344394, 0.68321717, 27.5677851,  3.0041000, 36.8888305,   -95.0016 
1940,    10, 0.17571065, 5.27897055, 0.68301870, 27.5661593,  3.0041000, 36.7079592,   -95.4023 
1940,    11, 0.12754091, 5.22847194, 0.68062185, 27.5624641,  3.0041000, 36.6031988,   -95.6447 
1940,    12, 0.10828714, 5.20286554, 0.67888254, 27.5599860,  3.0041000, 36.5541212,   -95.7649 
1941,     1, 0.09616146, 5.18436210, 0.67745024, 27.5579815,  3.0041000, 36.5200553,   -95.8519 
1941,     2, 0.07203667, 5.13963059, 0.67354230, 27.5524957,  3.0041000, 36.4418053,   -96.0414 
1941,     3, 0.04950062, 5.08210478, 0.66774168, 27.5443581,  3.0041000, 36.3478051,   -96.2707 
1941,     4, 0.02958002, 5.00420682, 0.65895276, 27.5318812,  3.0041000, 36.2287208,   -96.5634 
1941,     5, 0.02338405, 4.96904449, 0.65467772, 27.5258307,  3.0041000, 36.1770370,   -96.6972 
1941,     6, 0.01933728, 4.94079865, 0.65115474, 27.5208144,  3.0041000, 36.1362050,   -96.8055 
1941,     7, 0.01528050, 4.90602119, 0.64674469, 27.5144675,  3.0041000, 36.0866139,   -96.9356 
1941,     8, 0.00617627, 4.77449117, 0.62997149, 27.4890350,  3.0041000, 35.9037740,   -97.3949 
1941,     9, 0.78747525, 5.27503805, 0.62424042, 27.4802993,  3.0041000, 37.1711530,   -94.9619 
1941,    10, 0.32114118, 5.13498724, 0.65133266, 27.5049725,  3.0041000, 36.6165335,   -96.1096 
1941,    11, 0.19069262, 5.05531830, 0.65305759, 27.5041957,  3.0041000, 36.4073642,   -96.5726 
1941,    12, 0.12662012, 4.99359793, 0.65073652, 27.4993967,  3.0041000, 36.2744512,   -96.8792 
1942,     1, 0.11319384, 4.97683419, 0.64968759, 27.4976317,  3.0041000, 36.2414473,   -96.9636 
1942,     2, 0.10194925, 4.96123742, 0.64859214, 27.4958408,  3.0041000, 36.2117196,   -97.0409 
1942,     3, 0.06877163, 4.90298731, 0.64376837, 27.4880658,  3.0041000, 36.1076931,   -97.2910 
1942,     4, 0.04569691, 4.84323001, 0.63778210, 27.4786912,  3.0041000, 36.0095002,   -97.5317 
