Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
   1, 19871, 0.14546619, 5.67812086, 0.74059380, 27.6427694,  3.0041000, 37.2110503,   -93.3499 
1939,    12, 0.07302139, 5.42215482, 0.71338011, 27.6059750,  3.0041000, 36.8186313,   -94.8556 
1940,    12, 0.10828714, 5.20286554, 0.67888254, 27.5599860,  3.0041000, 36.5541212,   -95.7649 
1941,    12, 0.12662012, 4.99359793, 0.65073652, 27.4993967,  3.0041000, 36.2744512,   -96.8792 
1942,    12, 0.07739392, 4.85487914, 0.63810520, 27.4590488,  3.0041000, 36.0335270,   -97.8014 
1943,    12, 0.12731393, 4.63978028, 0.60668302, 27.3809273,  3.0041000, 35.7588045,   -98.8215 
1944,    12, 0.12157809, 4.59413623, 0.60356772, 27.3356453,  3.0041000, 35.6590274,   -99.4163 
1945,    12, 0.08767353, 4.42015024, 0.58362831, 27.2821842,  3.0041000, 35.3777363,  -100.5814 
1946,    12, 0.12119808, 4.10812405, 0.54239623, 27.1532011,  3.0041000, 34.9290195,  -102.3940 
1947,    12, 0.14471323, 4.13752308, 0.54580495, 27.1137998,  3.0041000, 34.9459411,  -102.9693 
1948,    12, 0.13648380, 3.88361105, 0.51754809, 26.9672201,  3.0041000, 34.5089630,  -104.7473 
1949,    12, 0.15033655, 4.16817225, 0.55841528, 26.9523808,  3.0041000, 34.8334048,  -104.8564 
1950,    12, 0.37522969, 4.51904691, 0.58644489, 26.9172542,  3.0041000, 35.4020757,  -103.9925 
1951,    12, 0.11189619, 4.24587587, 0.57308186, 26.8384042,  3.0041000, 34.7733581,  -105.5523 
1952,    12, 0.07014467, 4.05266458, 0.55086208, 26.7484205,  3.0041000, 34.4261918,  -106.5419 
1953,    12, 0.09854079, 4.04876375, 0.54829470, 26.6873142,  3.0041000, 34.3870135,  -106.8660 
1954,    12, 0.05544649, 4.26129548, 0.58464207, 26.6720954,  3.0041000, 34.5775794,  -106.5594 
1955,    12, 0.47351204, 5.07620678, 0.65519686, 26.7310880,  3.0041000, 35.9401037,  -102.7076 
1956,    12, 0.98375728, 5.42504667, 0.64992719, 26.7026139,  3.0041000, 36.7654451,   -98.8768 
1957,    12, 0.04963943, 5.18888536, 0.70391288, 26.7575307,  3.0041000, 35.7040684,   -99.6492 
1958,    12, 0.12380907, 4.85590209, 0.64731173, 26.6710364,  3.0041000, 35.3021593,   -97.4115 
1959,    12, 0.15879757, 5.09324439, 0.67628247, 26.6876679,  3.0041000, 35.6200923,   -89.3711 
1960,    12, 0.30004086, 5.47850459, 0.71348061, 26.7241413,  3.0041000, 36.2202674,   -80.9722 
1961,    12, 1.24681139, 5.74012066, 0.65517209, 26.6479518,  3.0041000, 37.2941560,   -65.7075 
1962,    12, 0.08194312, 5.64505546, 0.75307379, 26.7681453,  3.0041000, 36.2523177,   -66.8815 
1963,    12, 0.08568261, 5.25973776, 0.69652211, 26.7062661,  3.0041000, 35.7523086,   -56.6557 
1964,    12, 0.25617748, 5.53954649, 0.71757051, 26.7280899,  3.0041000, 36.2454844,   -27.7267 
1965,    12, 0.50438745, 6.31722837, 0.79924545, 26.8325399,  3.0041000, 37.4575012,    10.3795 
1966,    12, 1.00945368, 6.13686435, 0.72108266, 26.7673730,  3.0041000, 37.6388737,    30.1913 
1967,    12, 0.10259956, 5.88505977, 0.77195158, 26.8482787,  3.0041000, 36.6119896,    20.8474 
1968,    12, 0.11063661, 5.53601160, 0.72297372, 26.8006792,  3.0041000, 36.1744011,    20.3383 
1969,    12, 0.46140395, 5.91252889, 0.74015635, 26.8240006,  3.0041000, 36.9421898,    33.7580 
1970,    12, 0.62994917, 6.52619198, 0.80706260, 26.9136480,  3.0041000, 37.8809518,    46.4187 
1971,    12, 0.14309993, 6.37840060, 0.83103180, 26.9778334,  3.0041000, 37.3344657,    41.5589 
1972,    12, 0.55333157, 6.85512840, 0.85446715, 27.0296045,  3.0041000, 38.2966316,    52.6006 
1973,    12, 0.28879539, 6.55613157, 0.83443623, 27.0551131,  3.0041000, 37.7385763,    47.2777 
1974,    12, 0.05781545, 6.23405682, 0.81212349, 27.0739631,  3.0041000, 37.1820589,    42.0057 
1975,    12, 0.35937588, 6.52012547, 0.82183631, 27.1122233,  3.0041000, 37.8176610,    48.2841 
1976,    12, 0.08439116, 6.53340083, 0.85180455, 27.1846042,  3.0041000, 37.6583008,    46.4231 
1977,    12, 0.03519570, 5.98197008, 0.77984109, 27.1419897,  3.0041000, 36.9430966,    39.4094 
1978,    12, 0.34906395, 6.10740166, 0.76653982, 27.1387868,  3.0041000, 37.3658922,    41.6615 
1979,    12, 0.11469437, 6.04895927, 0.78194466, 27.1750048,  3.0041000, 37.1247031,    38.3829 
1980,    12, 0.12423964, 5.93555995, 0.76908926, 27.1736095,  3.0041000, 37.0065983,    35.6281 
1981,    12, 0.14107140, 6.21935356, 0.81032676, 27.2373357,  3.0041000, 37.4121874,    36.2738 
1982,    12, 0.13493667, 6.20386652, 0.80695007, 27.2609938,  3.0041000, 37.4108470,    34.3617 
1983,    12, 0.03628820, 5.85084454, 0.76898022, 27.2437085,  3.0041000, 36.9039215,    29.1928 
1984,    12, 0.03068384, 5.61951600, 0.74002527, 27.2214230,  3.0041000, 36.6157481,    25.5028 
